XDAC V1.4 Datafile V1
"ti_w1002191.103" created on 3/11/10 at 12:10:20 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 4966.00
NUM_REGIONS= 3
SRB= -30 -10 50 507
SRSS= 5 0.25 0.05k
SPP= 2 2 1k
Settling time= 0.20


Offsets= 121.60 84.20 92.40 0.00 0.00
Gains= 9.00 9.00 10.00 0.00 1.00
LaTiO2N yellow, precursor=La2TiO5
33% N2 in I0, N2 in It&Ir, Ti foil reference

--------------------------------------------------------------------------------
        Energy            I0            It            Ir         Iring       IntTime
    5311.49175    40133.0032    13507.1634     8369.0748   238132.0000        9.5230
    5315.13059    40523.9232    13725.9534     8544.4548   239353.0000        9.5730
    5318.78770    40914.8432    13939.7434     8726.8348   240576.0000        9.6230
    5322.46317    41338.7632    14178.5334     8921.2148   241803.0000        9.6730
    5326.15707    41739.6832    14403.3234     9113.5948   243017.0000        9.7230
    5329.87214    42138.6032    14621.1134     9299.9748   244248.0000        9.7730
    5333.60580    42547.5232    14840.9034     9496.3548   245463.0000        9.8230
    5337.35543    42979.4432    15077.6934     9708.7348   246681.0000        9.8730
    5341.12647    43455.3632    15331.4834     9940.1148   247913.0000        9.9230
    5344.91632    43952.2832    15598.2734    10177.4948   249146.0000        9.9730
    5348.72775    44393.2032    15857.0634    10410.8748   250360.0000       10.0230
    5352.55544    44831.1232    16106.8534    10632.2548   251583.0000       10.0730
    5356.40215    45274.0432    16366.6434    10852.6348   252810.0000       10.1230
    5360.26796    45718.9632    16626.4334    11065.0148   254029.0000       10.1730
    5364.15294    46149.8832    16894.2234    11291.3948   255246.0000       10.2230
    5368.05718    46641.8032    17181.0134    11512.7748   256468.0000       10.2730
    5371.98075    47207.7232    17508.8034    11770.1548   257687.0000       10.3230
    5375.92372    47797.6432    17832.5934    12032.5348   258908.0000       10.3730
    5379.88617    48365.5632    18156.3834    12286.9148   260134.0000       10.4230
    5383.86541    48901.4832    18492.1734    12574.2948   261355.0000       10.4730
    5387.86427    49505.4032    18840.9634    12877.6748   262566.0000       10.5230
    5391.88560    50139.3232    19193.7534    13193.0548   263780.0000       10.5730
    5395.92115    50736.2432    19539.5434    13496.4348   264995.0000       10.6230
    5399.97932    51346.1632    19899.3334    13814.8148   266209.0000       10.6730
    5404.05463    51905.0832    20248.1234    14112.1948   267433.0000       10.7230
    5408.14992    52480.0032    20577.9134    14435.5748   268649.0000       10.7730
    5412.26248    53056.9232    20944.7034    14756.9548   269371.0000       10.8230
    5416.39518    53621.8432    21297.4934    15075.3348   271089.0000       10.8730
    5420.54809    54177.7632    21646.2834    15396.7148   272300.0000       10.9230
    5424.71846    54765.6832    22013.0734    15748.0948   273511.0000       10.9730
    5428.90919    55319.6032    22365.8634    16083.4748   274730.0000       11.0230
    5433.11752    55872.5232    22729.6534    16436.8548   275949.0000       11.0730
    5437.34634    56430.4432    23096.4434    16787.2348   277157.0000       11.1230
    5441.59290    57021.3632    23483.2334    17135.6148   278371.0000       11.1730
    5445.86011    57670.2832    23890.0234    17535.9948   279576.0000       11.2230
    5450.14517    58351.2032    24322.8134    17929.3748   280794.0000       11.2730
    5454.45104    59036.1232    24768.6034    18358.7548   282002.0000       11.3230
    5458.77489    59791.0432    25225.3934    18787.1348   283211.0000       11.3730
    5463.11681    60509.9632    25641.1834    19179.5148   284425.0000       11.4230
    5467.47685    61081.8832    25994.9734    19536.8948   285636.0000       11.4730
    5471.85795    61568.8032    26272.7634    19829.2748   286844.0000       11.5230
    5476.25732    62030.7232    26441.5534    20057.6548   288052.0000       11.5730
