XDAC V1.4 Datafile V1
"TiPyro3_Oct09.2703" created on 11/1/09 at 7:25:25 PM on U-7A
Diffraction element= 1200 l/mm.  Ring energy= 800.00 GeV
E0= 440.00
NUM_REGIONS= 3
SRB= 0 10 35 50
SRSS= .2 .1 .2
SPP= 1 1 1
Settling time= 0.00


Offsets= 2.20 140.00 189.80 449.60
Gains= 10.00 0.00 0.00 0.00
Pyrochlore#3(Pristine GdTi2O7)/Angle 55/Bias -270/TiN Mesh
1200l/mm Gratings, 30um slits, ecc:60uA
CsI FY Collector:2200V, BackEnd:2000V, Cone:GND, Bias:-760
--------------------------------------------------------------------------------
        Energy         Io_up            I0            EY        FY_CsI
     453.63324        0.8000     5366.0000      560.2000     2707.4000
     453.76630       -0.2000     5376.0000      556.2000     2652.4000
     453.92549        0.8000     5378.0000      555.2000     2745.4000
     453.99209        0.8000     5379.0000      552.2000     2808.4000
     454.10507        0.8000     5383.0000      559.2000     2779.4000
     454.20941       -0.2000     5385.0000      562.2000     2715.4000
     454.27899        0.8000     5389.0000      568.2000     2762.4000
     454.39502        0.8000     5393.0000      559.2000     2782.4000
     454.51110        0.8000     5395.0000      563.2000     2707.4000
     454.57497        0.8000     5396.0000      563.2000     2823.4000
     454.71729        0.8000     5402.0000      561.2000     2861.4000
     454.80447        0.8000     5406.0000      572.2000     2900.4000
     454.91204        0.8000     5411.0000      560.2000     2816.4000
     454.97893        0.8000     5412.0000      573.2000     3007.4000
     455.09531        0.8000     5417.0000      583.2000     3035.4000
     455.20884        0.8000     5420.0000      591.2000     3101.4000
     455.28747        0.8000     5424.0000      597.2000     3339.4000
     455.38944        0.8000     5428.0000      618.2000     3520.4000
     455.50312        0.8000     5429.0000      638.2000     3626.4000
     455.61977        0.8000     5429.0000      645.2000     3910.4000
     455.67812        0.8000     5431.0000      643.2000     3790.4000
     455.79486        0.8000     5434.0000      645.2000     3884.4000
     455.90873        0.8000     5433.0000      642.2000     3870.4000
     456.00806        0.8000     5438.0000      662.2000     4127.4000
     456.08697        0.8000     5440.0000      682.2000     4249.4000
     456.20392        0.8000     5442.0000      698.2000     4544.4000
     456.31800        1.8000     5442.0000      712.2000     4756.4000
     456.37945        0.8000     5445.0000      708.2000     4729.4000
     456.49655        0.8000     5445.0000      719.2000     4813.4000
     456.61078        0.8000     5445.0000      729.2000     5085.4000
     456.67524        0.8000     5448.0000      783.2000     5240.4000
     456.82475        0.8000     5448.0000     1002.2000     6461.4000
     456.90687        1.8000     5453.0000     1182.2000     7140.4000
     457.01544        0.8000     5456.0000     1473.2000     8251.4000
     457.08001        0.8000     5462.0000     1637.2000     8847.4000
     457.19747        1.8000     5469.0000     1746.2000     9364.4000
     457.31499        0.8000     5475.0000     1642.2000     8911.4000
     457.37671        0.8000     5477.0000     1515.2000     8309.4000
     457.49727        1.8000     5487.0000     1186.2000     7225.4000
     457.61200        0.8000     5490.0000      966.2000     6251.4000
     457.72384        0.8000     5495.0000      836.2000     5408.4000
     457.78567        0.8000     5499.0000      788.2000     5278.4000
     457.90350        1.8000     5502.0000      756.2000     4901.4000
     457.98896        0.8000     5506.0000      742.2000     4909.4000
     458.08624        0.8000     5506.0000      756.2000     5034.4000
     458.20127        0.8000     5507.0000      770.2000     5026.4000
     458.31930        0.8000     5509.0000      808.2000     5348.4000
     458.37834        0.8000     5510.0000      857.2000     5731.4000
     458.49647        1.8000     5512.0000      951.2000     6620.4000
     458.61170        0.8000     5514.0000     1069.2000     7337.4000
     458.72404        1.8000     5512.0000     1203.2000     8028.4000
     458.79206        0.8000     5516.0000     1290.2000     8535.4000
     458.90744        0.8000     5520.0000     1417.2000     8920.4000
     458.96959        1.8000     5521.0000     1472.2000     9115.4000
     459.09098        1.8000     5533.0000     1518.2000     9208.4000
     459.20652        0.8000     5538.0000     1484.2000     9046.4000
     459.31914        1.8000     5549.0000     1461.2000     8911.4000
     459.38437        1.8000     5554.0000     1450.2000     8832.4000
     459.50302        0.8000     5563.0000     1438.2000     8707.4000
     459.61876        0.8000     5575.0000     1473.2000     8799.4000
     459.67813        0.8000     5581.0000     1511.2000     9066.4000
     459.79990        0.8000     5591.0000     1559.2000     9093.4000
     459.91579        1.8000     5599.0000     1582.2000     9347.4000
     459.97822        0.8000     5607.0000     1602.2000     9311.4000
     460.09717        0.8000     5613.0000     1554.2000     9161.4000
     460.21619        1.8000     5618.0000     1464.2000     8850.4000
     460.27869        0.8000     5620.0000     1328.2000     8487.4000
     460.39482        0.8000     5626.0000     1227.2000     7809.4000
     460.51101        0.8000     5627.0000     1114.2000     7406.4000
     460.62130        0.8000     5633.0000     1022.2000     6806.4000
     460.69286        0.8000     5631.0000      984.2000     6623.4000
     460.80920        1.8000     5630.0000      945.2000     6382.4000
     460.87187        0.8000     5634.0000      930.2000     6320.4000
     460.99129        0.8000     5636.0000      910.2000     6209.4000
     461.11076        0.8000     5641.0000      912.2000     6125.4000
     461.21536        0.8000     5645.0000      927.2000     6374.4000
     461.29010        0.8000     5646.0000      932.2000     6425.4000
     461.40674        0.8000     5648.0000      979.2000     6462.4000
     461.46957        0.8000     5646.0000      994.2000     6609.4000
     461.64319        0.8000     5651.0000     1058.2000     7007.4000
     461.64020        0.8000     5648.0000     1064.2000     6920.4000
     461.76900        1.8000     5652.0000     1117.2000     7386.4000
     461.88888        0.8000     5650.0000     1201.2000     7731.4000
     462.00883        0.8000     5651.0000     1303.2000     8192.4000
     462.12583        0.8000     5651.0000     1412.2000     8350.4000
     462.18586        1.8000     5650.0000     1484.2000     8758.4000
     462.30295        0.8000     5652.0000     1606.2000     9176.4000
     462.37204        1.8000     5655.0000     1670.2000     9297.4000
     462.53732        0.8000     5656.0000     1763.2000     9523.4000
     462.53732        1.8000     5655.0000     1762.2000     9561.4000
     462.66963        1.8000     5658.0000     1771.2000     9704.4000
     462.78998        0.8000     5662.0000     1713.2000     9606.4000
     462.91040        1.8000     5668.0000     1645.2000     9264.4000
     463.01882        0.8000     5673.0000     1559.2000     9115.4000
     463.09113        0.8000     5677.0000     1503.2000     9149.4000
     463.20869        0.8000     5680.0000     1414.2000     8682.4000
     463.27201        0.8000     5683.0000     1373.2000     8681.4000
     463.39569        0.8000     5685.0000     1312.2000     8554.4000
     463.51038        0.8000     5687.0000     1298.2000     8487.4000
     463.58285        0.8000     5690.0000     1294.2000     8599.4000
     463.69461        0.8000     5689.0000     1315.2000     8419.4000
     463.81549        0.8000     5690.0000     1339.2000     8544.4000
     463.87898        1.8000     5693.0000     1379.2000     8865.4000
     463.99693        0.8000     5695.0000     1428.2000     8787.4000
     464.11495        0.8000     5698.0000     1491.2000     9048.4000
     464.17852        1.8000     5700.0000     1551.2000     9314.4000
     464.29966        1.8000     5704.0000     1632.2000     9308.4000
     464.42086        1.8000     5708.0000     1747.2000     9930.4000
     464.48148        0.8000     5712.0000     1806.2000     9959.4000
     464.60277        1.8000     5720.0000     1901.2000    10331.4000
     464.72110        1.8000     5726.0000     1989.2000    10393.4000
     464.78483        1.8000     5732.0000     2027.2000    10399.4000
     464.90629        0.8000     5742.0000     2071.2000    10868.4000
     465.02173        1.8000     5753.0000     2068.2000    10772.4000
     465.08555        0.8000     5759.0000     2038.2000    10601.4000
     465.20411        1.8000     5768.0000     1992.2000    10817.4000
     465.27407        1.8000     5776.0000     1949.2000    10608.4000
     465.39578        0.8000     5786.0000     1862.2000    10295.4000
     465.51450        1.8000     5790.0000     1801.2000    10297.4000
     465.57541        1.8000     5793.0000     1732.2000    10231.4000
     465.69728        0.8000     5802.0000     1652.2000     9888.4000
     465.81616        0.8000     5807.0000     1578.2000     9752.4000
     465.88020        1.8000     5808.0000     1513.2000     9778.4000
